actions.synced.cloud.folder.delete; <br>''{0}'' is synced and this deletion will only remove this folder any content under it locally.; <br>''{0}'' er synkroniseret og denne sletning vil kun fjerne mappen og ethvert indhold under den lo; {alfresco/messages/slingshot.properties}actions.synced.cloud.folder.delete;;;
actions.synced.cloud.folder.delete.on.prem; <br>''{0}'' is synced and this deletion will remove this folder any content under it on premise as w; <br>''{0}'' is synced and this deletion will remove this folder any content under it on premise as w; {alfresco/messages/slingshot.properties}actions.synced.cloud.folder.delete.on.prem;;;
actions.synced.document.delete; <br>''{0}'' is synced and this deletion will remove the document locally and from the cloud.; <br>''{0}'' er synkroniseret og denne sletning vil fjerne dokumentet lokalt og fra skyen.; {alfresco/messages/slingshot.properties}actions.synced.document.delete;;;
actions.synced.folder.delete; <br>''{0}'' is synced and this deletion will remove this folder any content under it locally and fro; <br>''{0}'' er synkroniseret og denne sletning vil fjerne mappen og ethvert indhold under den lokalt; {alfresco/messages/slingshot.properties}actions.synced.folder.delete;;;
actions.synced.remove-sync; <br>If the object must stay in the cloud at once execute ''Remove sync'' action.; ; {alfresco/messages/slingshot.properties}actions.synced.remove-sync;;;
actions.view; View; Vis; {alfresco/site-webscripts/org/alfresco/components/data-lists/datagrid.get.properties}actions.view;;;
activities.field.feed.max.ageMins; Maximum Age (mins); Maksimum alder (minutter); {alfresco/messages/slingshot.properties}activities.field.feed.max.ageMins;;;
activities.field.feed.max.size; Maximum Size; Maksimum st\u00f8rrelse; {alfresco/messages/slingshot.properties}activities.field.feed.max.size;;;
activities.field.feed.notifier.enabled; Feed Notifier Enabled; Feed notifikation aktiveret; {alfresco/messages/slingshot.properties}activities.field.feed.notifier.enabled;;;
activities.field.feed.notifier.repeatIntervalMins; Repeat Interval (mins); Gentag interval (minutter); {alfresco/messages/slingshot.properties}activities.field.feed.notifier.repeatIntervalMins;;;
activities.set.activities; Activities Feed; Aktivitets Feed; {alfresco/messages/slingshot.properties}activities.set.activities;;;
addComment; Add Comment; Tilf\u00f8j kommentar; {alfresco/site-webscripts/org/alfresco/components/blog/createcomment.get.properties}addComment;;;
added-users-list.add-button-text; Add Users;Tilføj brugere; {alfresco/site-webscripts/org/alfresco/components/invite/added-users-list.get.properties}added-users-list.add-button-text;;;
added-users-list.direct-add-instructions; You haven't selected any users yet.;Du har ikke valgt nogle brugere endnu; {alfresco/site-webscripts/org/alfresco/components/invite/invitationlist.get.properties}added-users-list.direct-add-instructions;;;
added-users-list.empty; You haven't added any users yet.;Du har ikke tilføjet nogle brugere endnu; {alfresco/site-webscripts/org/alfresco/components/invite/added-users-list.get.properties}added-users-list.empty;;;
